# T edge 2path 3path 3clique 3star 4path 4cycle 4star 4Y 4kite 4clique 5path 5cycle 5star
2.489999999999999858e+01 4.514589991026668031e+03 6.988955575865070386e+03 9.505533256786320635e+03 7.930990041671078870e+03 9.545663678249600707e+03 1.204842919393369448e+04 1.082341844917763410e+04 1.218013933059398369e+04 1.210567310434107458e+04 1.061170797032748487e+04 1.116348170780270266e+04 1.449600799948564963e+04 1.253311247659632136e+04 1.477098577289845525e+04
2.500000000000000000e+01 -5.037650240734476625e+01 -9.807328715837198274e+01 -1.545367055387303594e+02 -2.274202446413265761e+02 -1.588355521095907363e+02 -2.170025551584822381e+02 -3.267625200551858029e+02 -2.296263435304946654e+02 -2.233167898439493513e+02 -3.108808166555965613e+02 -2.640950571675977585e+02 -2.686122791670093193e+02 -2.573739222613465927e+02 -2.927925183485460821e+02
2.510000000000000142e+01 -5.025236340875875385e+01 -9.771760719535194539e+01 -1.538078655302168158e+02 -2.259929145679525107e+02 -1.581080928889356585e+02 -2.158054019412580828e+02 -3.253960779687170657e+02 -2.285028240167050626e+02 -2.221368652726602306e+02 -3.090388576608129938e+02 -2.634857714608572792e+02 -2.671230755923793367e+02 -2.563796796513261711e+02 -2.914751836955514364e+02
2.520000000000000284e+01 -5.012895289460234238e+01 -9.736521654413272131e+01 -1.530870942869034081e+02 -2.245655832220754462e+02 -1.573876429740379876e+02 -2.146218312902384184e+02 -3.240172951190083381e+02 -2.273877630696076722e+02 -2.209680527510212755e+02 -3.071901182677211750e+02 -2.628785744319310425e+02 -2.656480443821723725e+02 -2.553872591062948629e+02 -2.901634352821226344e+02
2.530000000000000426e+01 -5.000626539383725344e+01 -9.701607409021133321e+01 -1.523743007717357898e+02 -2.231388038407088459e+02 -1.566741451440801711e+02 -2.134517540570786593e+02 -3.226264911329668053e+02 -2.262811786157016627e+02 -2.198103349347939002e+02 -3.053353907027841387e+02 -2.622734594474453615e+02 -2.641872264742480070e+02 -2.543967867415938997e+02 -2.888573940369545312e+02
