4clique 4path 4cycle 4star
6.601055749704261124e+07 1.425368009186846924e+10 6.011598945667970181e+08 2.220950854206625748e+10
6.327937724585642666e+07 1.365406337889472389e+10 5.769070254492245913e+08 2.119305867235101700e+10
6.068745519040449709e+07 1.308723523462969017e+10 5.539013364409697056e+08 2.023489398535844040e+10
5.822654873649542779e+07 1.255106651147492790e+10 5.320676511677155495e+08 1.933112300876725388e+10
5.588896466397305578e+07 1.204358548016143608e+10 5.113359119456797242e+08 1.847814655356667328e+10
