T edge 2path 3path 3clique 3star 4path 4cycle 4star 4Y 4kite 4clique 5path 5cycle 5star
2.400000000000000000e+01 8.428067677678936889e+02 4.732119165123765561e+04 3.085715426052956842e+06 1.129455091821562382e+05 3.405733558234246448e+06 2.156345202487264276e+08 4.957485818163642287e+07 2.869615861156499386e+08 2.456308071476184130e+08 7.844220717045008205e+06 9.102546045656113327e+07 7.660027238641692400e+08 2.629211165381761169e+10 1.550205409092332649e+10
2.500000000000000000e+01 7.892506575375512057e+02 3.987438620980046835e+04 2.292640551574694924e+06 9.098613594455097336e+04 2.514343692668399774e+06 1.403592738239744604e+08 2.846412110992317274e+07 1.843868273372958302e+08 1.587722871704986691e+08 5.601510216486638412e+06 5.599637099239489436e+07 4.651485661599348783e+08 1.474009117879405975e+10 8.831743907657243729e+09
2.600000000000000000e+01 7.450286536772993031e+02 3.435816430061365827e+04 1.770831709390343633e+06 7.500942878027130791e+04 1.929351009499982698e+06 9.651590288177767396e+07 1.728581519983014464e+07 1.249351704736440182e+08 1.083357648629944175e+08 4.152417076038793195e+06 3.615358165905226767e+07 2.978226754044287801e+08 8.826186597420991898e+09 5.397235561132338524e+09
