T edge 2path 3path 3clique 3star 4path 4cycle 4star 4Y 4kite 4clique 5path 5cycle 5star
2.400000000000000000e+01 1.616817050879360238e+02 2.583531240143847754e+02 3.586150582356770542e+02 2.792318582822944109e+02 3.609833018392224631e+02 4.605382919196812281e+02 4.252558649203911045e+02 4.673966140434899899e+02 4.636641643833503394e+02 3.810069025015325224e+02 4.398395954540512776e+02 4.909607108077677253e+02 5.758208350565471392e+02 5.631417209780736357e+02
2.500000000000000000e+01 5.095393925931517742e+00 6.484112163390364003e+00 7.515311527706899142e+00 6.229702258568636353e+00 7.454757417558084853e+00 8.454606455269072285e+00 3.848008672714684053e+00 8.417046738285648644e+00 8.410375054356734381e+00 7.456767520050618714e+00 6.180340618257162077e+00 7.985974433268097528e+00 9.525087680837714288e+00 9.398737274377367612e+00
2.600000000000000000e+01 5.171890638878039681e+00 6.722232501271378169e+00 7.930587285515173335e+00 6.398036102999014929e+00 7.851990978635683405e+00 9.022778710335956021e+00 4.196443011773681064e+00 8.912282855678029136e+00 8.944853865136053628e+00 7.755559894607074511e+00 6.465514991223983543e+00 8.365544036827202490e+00 1.007978838593078308e+01 1.009751263162195301e+01
