T edge 2path 3path 3clique 3star 4path 4cycle 4star 4Y 4kite 4clique 4path 4cycle 4star
2.489999999999999858e+01 1.453136084087328527e+03 7.861573754562032991e+04 4.552822710587132722e+06 3.592281942426966270e+05 4.857252062844051048e+06 2.750977049257428050e+08 3.814270081875238568e+07 3.402084789806237221e+08 3.017062083384964466e+08 2.710915257184946164e+07 6.601055749704261124e+07 1.425368009186846924e+10 6.011598945667970181e+08 2.220950854206625748e+10
2.500000000000000000e+01 1.441470534660222029e+03 7.739174929629072722e+04 4.441630521829442121e+06 3.463918282722998410e+05 4.735366710873055272e+06 2.657101136946508586e+08 3.619975705940116942e+07 3.279359740306013823e+08 2.911163564021958113e+08 2.579370509212819114e+07 6.327937724585642666e+07 1.365406337889472389e+10 5.769070254492245913e+08 2.119305867235101700e+10
2.510000000000000142e+01 1.430018466933646096e+03 7.620062704318061878e+04 4.334507459494384937e+06 3.341865146322093788e+05 4.618006166121060960e+06 2.567625260043973029e+08 3.437752667189014703e+07 3.162549444003400207e+08 2.810306609882149696e+08 2.455897738931416720e+07 6.068745519040449709e+07 1.308723523462969017e+10 5.539013364409697056e+08 2.023489398535844040e+10
2.520000000000000284e+01 1.418774586921932496e+03 7.504121923809082364e+04 4.231266253581441939e+06 3.225753759931769455e+05 4.504960629675576463e+06 2.482298297119979262e+08 3.266747468119797483e+07 3.051311955273194313e+08 2.714201123383270502e+08 2.339925339672326669e+07 5.822654873649542779e+07 1.255106651147492790e+10 5.320676511677155495e+08 1.933112300876725388e+10
2.530000000000000426e+01 1.407733763924509503e+03 7.391242321130227356e+04 4.131729820801939350e+06 3.115239736110172817e+05 4.396031748529399745e+06 2.400885713600123525e+08 3.106173337773894891e+07 2.945327995370796919e+08 2.622576230815796256e+08 2.230926736448499933e+07 5.588896466397305578e+07 1.204358548016143608e+10 5.113359119456797242e+08 1.847814655356667328e+10
