T edge 2path 3path 3clique 3star
2.489999999999999858e+01 1.453136084087328527e+03 7.861573754562032991e+04 4.552822710587132722e+06 3.592281942426966270e+05 4.857252062844051048e+06
2.500000000000000000e+01 1.441470534660222029e+03 7.739174929629072722e+04 4.441630521829442121e+06 3.463918282722998410e+05 4.735366710873055272e+06
2.510000000000000142e+01 1.430018466933646096e+03 7.620062704318061878e+04 4.334507459494384937e+06 3.341865146322093788e+05 4.618006166121060960e+06
2.520000000000000284e+01 1.418774586921932496e+03 7.504121923809082364e+04 4.231266253581441939e+06 3.225753759931769455e+05 4.504960629675576463e+06
2.530000000000000426e+01 1.407733763924509503e+03 7.391242321130227356e+04 4.131729820801939350e+06 3.115239736110172817e+05 4.396031748529399745e+06
