# T edge 2path 3path 3clique 3star 4path 4cycle 4star 4Y 4kite 4clique 5path 5cycle 5star
2.489999999999999858e+01 1.813088349809907243e+02 2.806809468218904158e+02 3.817483235657157365e+02 3.185136562920112624e+02 3.833599870782972516e+02 4.838726583909115107e+02 4.346754397260094720e+02 4.891622221122082692e+02 4.861716106161075004e+02 4.261730108565255364e+02 4.483325987069358689e+02 5.821689959632791442e+02 5.033378504657158032e+02 5.932122800360826886e+02
2.500000000000000000e+01 5.266419220211769670e+00 7.349395695267057604e+00 9.149789752977296686e+00 3.694903318443555129e+00 9.042561332415615993e+00 1.075253467682997055e+01 4.386344166708733283e+00 1.046001541991287098e+01 1.059229268801330726e+01 4.680149295885418503e+00 7.441522962570737754e+00 1.263578979570052319e+01 9.919414614193302171e+00 1.211208561288895957e+01
2.510000000000000142e+01 5.271332884536473529e+00 7.363503694885375594e+00 9.178728694062540328e+00 3.751624089338694290e+00 9.071442521730984865e+00 1.080009169580747042e+01 4.440575795638829426e+00 1.050463077817183688e+01 1.063915928174409053e+01 4.753335945356344183e+00 7.465628946069849725e+00 1.269494938845564391e+01 9.958861810498405021e+00 1.216438242454938568e+01
2.520000000000000284e+01 5.276198474625953594e+00 7.377425901342357761e+00 9.207233848322726288e+00 3.808121875596216732e+00 9.099932216272902608e+00 1.084692285544334034e+01 4.495084443042792088e+00 1.054873530101743739e+01 1.068540081331703639e+01 4.826503964890707543e+00 7.489558104064606425e+00 1.275331411975325935e+01 9.998082091884015199e+00 1.221625234108369895e+01
2.530000000000000426e+01 5.281016582063312370e+00 7.391165396995129200e+00 9.235312221708095848e+00 3.864376545092172321e+00 9.128035751472095782e+00 1.089303738408757916e+01 4.549855260152575021e+00 1.059233228796684578e+01 1.073102287748880102e+01 4.899622155799578493e+00 7.513312073439131211e+00 1.281088861531297951e+01 1.003707224095180095e+01 1.226769392330066566e+01
