4path 4cycle 4star 4Y 4kite
2.750977049257428050e+08 3.814270081875238568e+07 3.402084789806237221e+08 3.017062083384964466e+08 2.710915257184946164e+07
2.657101136946508586e+08 3.619975705940116942e+07 3.279359740306013823e+08 2.911163564021958113e+08 2.579370509212819114e+07
2.567625260043973029e+08 3.437752667189014703e+07 3.162549444003400207e+08 2.810306609882149696e+08 2.455897738931416720e+07
2.482298297119979262e+08 3.266747468119797483e+07 3.051311955273194313e+08 2.714201123383270502e+08 2.339925339672326669e+07
2.400885713600123525e+08 3.106173337773894891e+07 2.945327995370796919e+08 2.622576230815796256e+08 2.230926736448499933e+07
